TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,CFID,CFPARAMS
1610612752,"New York Knicks",21,10,11,0.476,48.7,42.3,92.4,0.458,11.2,34.6,0.323,20,25,0.802,12.6,33.5,46.1,24.3,13.7,7.3,4.8,5,22.4,21.8,115.8,-0.8,10,18,17,20,5,11,5,23,21,11,28,3,6,10,5,10,4,18,7,17,18,16,28,7,7,20,10,"New York Knicks",1610612749,"Milwaukee Bucks",19,14,5,0.737,48.5,41.1,89.8,0.457,13.2,37.4,0.352,17.2,24.1,0.714,11.7,36.8,48.6,24.5,15.3,7.2,6.4,5.1,19.5,20.4,112.5,4.8,28,2,2,2,6,18,11,24,7,6,17,20,12,29,10,1,1,16,19,19,3,18,5,18,15,5,10,"Milwaukee Bucks"
1610612747,"Los Angeles Lakers",19,7,12,0.368,48.3,41,88.3,0.465,9.6,30.1,0.32,20.7,25.6,0.809,9.5,36.2,45.7,24.1,15.4,7,5.2,5.5,19.1,21.4,112.3,-2.2,28,25,24,25,15,19,14,19,30,28,29,2,4,6,21,2,5,19,20,21,12,24,2,11,16,25,10,"Los Angeles Lakers",1610612757,"Portland Trail Blazers",21,11,10,0.524,48.5,38.9,83.3,0.466,12.1,31.8,0.382,20,26,0.769,10.5,32.2,42.8,23.7,15.5,6.7,4.1,4.7,19.5,22.6,109.8,-0.9,10,13,12,14,9,26,26,17,12,22,4,5,2,23,16,22,21,23,22,25,24,14,4,3,23,21,10,"Portland Trail Blazers"
1610612751,"Brooklyn Nets",22,11,11,0.5,48.2,41.3,83,0.498,12,32.3,0.372,16.9,21.1,0.8,7.4,32.8,40.2,26.5,14.8,7,7.3,4,22,18.7,111.5,0.7,3,13,17,17,23,15,27,1,14,19,7,23,27,11,30,19,28,11,14,22,1,4,25,28,18,14,10,"Brooklyn Nets",1610612764,"Washington Wizards",21,11,10,0.524,48.5,41.4,87.3,0.474,11.1,32.2,0.345,16.7,21.4,0.78,9.2,34.7,43.9,25.1,13.4,6.5,6,4.3,19.9,19.6,110.5,-0.9,10,13,12,14,9,14,19,11,22,20,19,24,26,19,23,4,12,13,6,27,5,6,10,24,21,22,10,"Washington Wizards"
1610612750,"Minnesota Timberwolves",21,10,11,0.476,48.2,42.1,87.4,0.482,11.1,34,0.327,19.3,24.4,0.791,9.9,33.9,43.8,26.6,16.5,7.8,5.4,3.9,22.1,21.2,114.6,-1.3,10,18,17,20,21,13,17,7,22,14,26,8,10,14,20,6,13,10,26,7,8,3,26,12,12,23,10,"Minnesota Timberwolves",1610612763,"Memphis Grizzlies",20,12,8,0.6,48.5,43,92.9,0.463,12.5,34.3,0.363,17.3,24.8,0.699,13.8,34.5,48.2,24.6,14.3,6.8,5.2,5.4,20.1,22.4,115.7,1.4,19,7,5,6,7,8,2,20,9,12,12,19,7,30,1,5,2,15,10,23,13,22,13,5,9,11,10,"Memphis Grizzlies"
1610612760,"Oklahoma City Thunder",21,8,13,0.381,49.2,43.6,94.8,0.46,11.7,34.8,0.336,17,21.6,0.789,12,32.4,44.4,24.4,13.9,8.2,6,5.8,22.1,19.6,115.9,-1.8,10,24,25,24,1,1,1,22,17,10,22,21,24,15,8,21,10,17,8,4,4,26,27,24,6,24,10,"Oklahoma City Thunder",1610612759,"San Antonio Spurs",21,6,15,0.286,48.2,42.2,91.4,0.462,12,34.2,0.351,14.2,19.8,0.719,12,30.3,42.3,28.3,16.7,7.5,4.4,4.5,19.6,18.7,110.6,-10.4,10,26,26,26,21,12,6,21,14,13,18,30,29,28,6,30,23,2,28,14,22,9,6,29,20,30,10,"San Antonio Spurs"
1610612758,"Sacramento Kings",19,10,9,0.526,48.3,42.9,87.1,0.493,13.6,37.1,0.366,19.6,24.7,0.795,8,33,41,27.9,15.1,7.1,3.2,4.6,20.8,21.6,119,1.6,28,18,9,13,15,9,20,4,5,7,11,7,8,13,27,15,27,4,17,20,30,12,18,8,2,9,10,"Sacramento Kings",1610612754,"Indiana Pacers",20,12,8,0.6,48,40.9,90.4,0.453,14.7,41,0.359,19.2,24.1,0.798,10.9,32.7,43.5,28.1,15.6,8,6.6,5.8,21.6,20.6,115.7,1.4,19,7,5,6,26,20,10,25,3,3,15,11,13,12,14,20,16,3,23,6,2,25,24,15,8,11,10,"Indiana Pacers"
1610612756,"Phoenix Suns",20,14,6,0.7,48.3,43.1,90.7,0.475,12.2,32.9,0.371,16.7,20.6,0.81,11.8,31.6,43.4,27.3,13.4,7.6,6,4.2,21.5,20.1,115,6.8,19,2,3,3,17,6,8,10,11,15,8,25,28,5,9,26,18,8,5,10,6,5,23,21,11,3,10,"Phoenix Suns",1610612741,"Chicago Bulls",20,9,11,0.45,48.3,41.2,87.7,0.469,10.6,29.1,0.363,19.2,23,0.833,10.2,33.3,43.5,24.7,14.8,7.6,5.4,6.2,20.1,19.4,112,0.3,19,23,17,23,17,17,16,14,27,30,13,12,17,3,17,12,17,14,13,10,11,27,11,26,17,17,10,"Chicago Bulls"
1610612738,"Boston Celtics",21,17,4,0.81,48.5,43,86.7,0.496,16.7,41.4,0.403,18.7,21.9,0.852,7.9,33.8,41.7,27.3,13.3,5.8,5.4,3.6,20.8,20.4,121.3,8.4,10,1,1,1,9,7,22,3,1,2,1,14,22,1,28,7,25,7,4,30,9,2,17,17,1,1,10,"Boston Celtics",1610612748,"Miami Heat",21,10,11,0.476,48.5,38.4,85.8,0.448,11.7,35.1,0.332,20,23.6,0.848,9.4,31.9,41.2,24,14,7.5,3.5,4.5,19,21.4,108.4,-0.5,10,18,17,20,9,30,23,26,17,9,25,4,15,2,22,24,26,20,9,12,28,10,1,10,27,19,10,"Miami Heat"
1610612762,"Utah Jazz",23,12,11,0.522,48.4,42.7,90.4,0.472,14.7,39.8,0.369,16.6,21.5,0.773,12,31.9,43.9,27.4,15.6,7.5,5,5.2,21.2,20.4,116.7,1.2,1,7,17,16,14,10,9,13,4,4,9,27,25,22,7,23,11,6,24,13,15,20,21,16,4,13,10,"Utah Jazz",1610612746,"LA Clippers",22,13,9,0.591,48,39.3,82.4,0.477,11.3,31.4,0.36,17,23,0.739,8.2,35,43.2,23,16,6.5,4.8,4.3,20.1,20,107,-0.1,3,5,9,9,26,23,30,9,20,25,14,22,17,25,25,3,19,25,25,26,19,7,12,22,30,18,10,"LA Clippers"
1610612753,"Orlando Magic",22,5,17,0.227,48.2,39.2,83.6,0.469,10.6,31.5,0.338,19.2,24.5,0.786,10,32.9,42.8,21.2,16.5,6.2,5.4,4.7,21.2,20.3,108.3,-6.1,3,28,29,29,23,24,25,15,26,23,21,10,9,16,19,17,20,30,27,28,10,13,22,19,28,26,10,"Orlando Magic",1610612737,"Atlanta Hawks",22,12,10,0.545,48.5,43.1,92.6,0.465,9.6,29.6,0.325,18.1,21.9,0.827,11,33.6,44.6,23.8,13.2,7.4,4.9,5.3,20.2,21.5,113.9,0.4,3,7,12,11,13,4,4,18,29,29,27,18,23,4,13,9,8,21,3,15,16,21,14,9,13,15,10,"Atlanta Hawks"
1610612740,"New Orleans Pelicans",20,12,8,0.6,48.8,43.5,89.7,0.484,11.4,30.3,0.376,18.4,23.5,0.783,11.6,33.3,44.9,27.1,14.8,8.7,4.5,5.2,19.8,19.8,116.7,5.5,19,7,5,6,4,2,12,5,19,27,5,17,16,18,11,12,7,9,15,2,21,19,8,23,5,4,10,"New Orleans Pelicans",1610612761,"Toronto Raptors",20,11,9,0.55,48.3,40.5,91,0.445,10.9,32.7,0.334,19,24.2,0.785,13.5,30.9,44.4,23,12.9,10.2,5.6,5.5,20.5,21.1,110.8,2.3,19,13,9,10,17,22,7,28,24,16,23,13,11,17,2,27,9,26,1,1,7,23,15,13,19,6,10,"Toronto Raptors"
1610612743,"Denver Nuggets",20,13,7,0.65,48.3,43.2,86.9,0.497,12.3,30.8,0.398,16.7,22.1,0.755,10.7,33.1,43.7,27.9,15.2,7.2,4.3,4.5,19.6,20.3,115.2,1.5,19,5,4,4,17,3,21,2,10,26,2,25,21,24,15,14,15,5,18,18,23,8,7,20,10,10,10,"Denver Nuggets",1610612745,"Houston Rockets",20,5,15,0.25,48,38.9,87.7,0.443,12.7,35.9,0.354,19.9,25.7,0.776,13.5,33,46.4,22,18.2,7.8,4.9,6.2,21.1,22.5,110.3,-6.1,19,28,26,28,26,27,15,30,8,8,16,6,3,21,3,16,3,27,30,8,17,27,20,4,22,27,10,"Houston Rockets"
1610612739,"Cleveland Cavaliers",22,14,8,0.636,49.1,40.7,84.9,0.48,12.1,31.5,0.385,19.3,24,0.806,10,33.7,43.7,23.8,15,6.2,4.1,4.5,19.8,22.8,112.9,6.9,3,2,5,5,3,21,24,8,13,23,3,9,14,8,18,8,14,21,16,28,25,11,9,2,14,2,10,"Cleveland Cavaliers",1610612755,"Philadelphia 76ers",22,12,10,0.545,48,39,82.5,0.472,11.8,32,0.369,18.6,23,0.808,8.1,31.7,39.9,23.3,14.3,8.5,4.6,5,19.4,19.1,108.3,2.2,3,7,12,11,26,25,29,12,16,21,10,15,17,7,26,25,29,24,11,3,20,17,3,27,28,7,10,"Philadelphia 76ers"
